Product Name,Price,transmission,fuel,engine_capacity
Mercedes Benz S Class S 560 e,PKR 5.8 crore,Automatic,Hybrid,3000cc
Porsche 911 Carrera 4S,PKR 6.02 crore,Automatic,Petrol,2981cc
Porsche 911 Carrera GTS,PKR 6.02 crore,Automatic,Petrol,2981cc
Porsche 911 Carrera S Cabriolet,PKR 6.18 crore,Automatic,Petrol,2981cc
Mercedes Benz S Class S450,PKR 6.3 crore,Automatic,Petrol,3000cc
Porsche 911 Carrera 4 GTS,PKR 6.35 crore,Automatic,Petrol,2981cc
Porsche 911 Carrera GTS Cabriolet,PKR 6.46 crore,Automatic,Petrol,2981cc
Porsche 911 Carrera 4S Cabriolet,PKR 6.53 crore,Automatic,Petrol,2981cc
Porsche Panamera Turbo S E-Hybrid ,PKR 6.65 crore,Automatic,Petrol,3996cc
Porsche Cayenne S E-Hybrid,PKR 6.69 crore,Automatic,Petrol,2995cc
Porsche Cayenne Turbo,PKR 6.74 crore,Automatic,Petrol,4806cc
Porsche 911 Carrera 4 GTS Cabriolet,PKR 6.79 crore,Automatic,Petrol,2981cc
Porsche Panamera Turbo,PKR 6.85 crore,Automatic,Petrol,3996cc
Porsche Panamera Turbo S E-Hybrid Executive,PKR 7 crore,Automatic,Petrol,3996cc
Porsche Panamera Turbo Executive,PKR 7.27 crore,Automatic,Petrol,3996cc
Porsche 911 Turbo,PKR 7.77 crore,Automatic,Petrol,3800cc
Porsche 911 Turbo Cabriolet,PKR 8.21 crore,Automatic,Petrol,3800cc
Porsche 911 Turbo S Cabriolet,PKR 9.57 crore,Automatic,Petrol,3800cc
